geo,year,part_time
EL54,2014,6802.0
EL54,2015,6711.0
EL54,2016,8067.0
EL54,2017,6292.0
EL54,2018,4812.0
EL54,2019,6924.0
EL54,2020,7636.0
EL54,2021,4100.0
EL54,2022,12533.0
EL54,2023,12190.0
EL61,2008,19587.0
EL61,2009,21062.0
EL61,2010,19875.0
EL61,2011,21010.0
EL61,2012,20954.0
EL61,2013,26358.0
EL61,2014,29599.0
EL61,2015,27745.0
EL61,2016,27839.0
EL61,2017,33163.0
EL61,2018,28470.0
EL61,2019,28350.0
EL61,2020,27263.0
EL61,2021,33041.0
EL61,2022,33998.0
EL61,2023,19700.0
EL62,2008,4023.0
EL62,2009,3951.0
EL62,2010,3959.0
EL62,2011,5708.0
EL62,2012,10037.0
EL62,2013,5687.0
EL62,2014,3181.0
EL62,2015,2449.0
EL62,2016,3594.0
EL62,2017,4022.0
EL62,2018,2588.0
EL62,2019,2352.0
EL62,2020,2310.0
EL62,2021,2300.0
EL62,2022,4560.0
EL62,2023,3349.0
EL63,2008,14667.0
EL63,2009,15566.0
EL63,2010,13406.0
EL63,2011,13788.0
EL63,2012,12551.0
EL63,2013,12304.0
EL63,2014,14357.0
EL63,2015,17705.0
EL63,2016,22420.0
EL63,2017,21222.0
EL63,2018,20160.0
EL63,2019,17320.0
EL63,2020,20350.0
EL63,2021,26175.0
EL63,2022,14403.0
EL63,2023,18942.0
EL64,2008,14996.0
EL64,2009,13836.0
EL64,2010,13436.0
EL64,2011,13184.0
EL64,2012,12122.0
EL64,2013,10484.0
EL64,2014,11526.0
EL64,2015,14365.0
EL64,2016,18725.0
EL64,2017,22074.0
EL64,2018,20350.0
EL64,2019,15208.0
EL64,2020,10844.0
EL64,2021,14377.0
EL64,2022,17252.0
EL64,2023,13274.0
EL65,2008,13609.0
EL65,2009,12743.0
EL65,2010,14541.0
EL65,2011,14189.0
EL65,2012,12866.0
EL65,2013,14617.0
EL65,2014,17863.0
EL65,2015,16231.0
EL65,2016,13992.0
EL65,2017,15121.0
EL65,2018,12926.0
EL65,2019,11257.0
EL65,2020,10453.0
EL65,2021,12639.0
EL65,2022,16640.0
EL65,2023,19009.0
ES11,2008,130866.0
ES11,2009,125600.0
ES11,2010,127334.0
ES11,2011,123091.0
ES11,2012,133243.0
ES11,2013,136049.0
ES11,2014,136836.0
ES11,2015,144142.0
ES11,2016,139756.0
ES11,2017,133925.0
ES11,2018,149370.0
ES11,2019,151821.0
ES11,2020,136333.0
ES11,2021,141021.0
ES11,2022,142250.0
ES11,2023,160250.0
ES12,2008,52249.0
ES12,2009,39742.0
ES12,2010,47881.0
ES12,2011,54579.0
ES12,2012,43309.0
ES12,2013,62663.0
ES12,2014,46290.0
ES12,2015,49645.0
ES12,2016,52915.0
ES12,2017,63396.0
ES12,2018,57669.0
ES12,2019,55451.0
ES12,2020,44086.0
ES12,2021,54826.0
ES12,2022,53228.0
ES12,2023,53504.0
ES13,2008,25728.0
ES13,2009,25928.0
ES13,2010,21548.0
ES13,2011,28679.0
ES13,2012,34178.0
ES13,2013,31657.0
ES13,2014,35528.0
ES13,2015,33001.0
ES13,2016,31411.0
ES13,2017,33634.0
ES13,2018,36151.0
ES13,2019,34510.0
ES13,2020,36905.0
ES13,2021,31081.0
ES13,2022,32795.0
ES13,2023,30429.0
ES21,2008,146974.0
ES21,2009,126155.0
ES21,2010,134477.0
ES21,2011,147941.0
ES21,2012,148597.0
ES21,2013,144266.0
ES21,2014,140946.0
ES21,2015,154208.0
ES21,2016,152212.0
ES21,2017,161384.0
ES21,2018,151707.0
ES21,2019,143741.0
ES21,2020,139819.0
ES21,2021,147990.0
ES21,2022,139957.0
ES21,2023,158601.0
ES22,2008,36504.0
ES22,2009,35966.0
ES22,2010,38340.0
ES22,2011,38938.0
ES22,2012,36525.0
ES22,2013,36666.0
ES22,2014,41737.0
ES22,2015,51603.0
ES22,2016,46964.0
ES22,2017,41542.0
ES22,2018,48628.0
ES22,2019,46773.0
ES22,2020,44265.0
ES22,2021,42558.0
ES22,2022,52185.0
ES22,2023,38144.0
ES23,2008,17315.0
ES23,2009,17581.0
ES23,2010,20167.0
ES23,2011,17999.0
ES23,2012,20797.0
ES23,2013,21020.0
ES23,2014,19057.0
ES23,2015,20013.0
ES23,2016,17249.0
ES23,2017,17893.0
ES23,2018,20157.0
ES23,2019,19850.0
ES23,2020,18978.0
ES23,2021,15876.0
ES23,2022,20863.0
ES23,2023,20176.0
ES24,2008,68378.0
ES24,2009,79231.0
ES24,2010,78141.0
ES24,2011,81094.0
ES24,2012,75178.0
ES24,2013,90897.0
ES24,2014,82109.0
