geo,year,involuntary_part_time
FR81,2009,53867.0
FR81,2010,51874.0
FR81,2011,60491.0
FR81,2012,62581.0
FR82,2008,97788.0
FR82,2009,81086.0
FR82,2010,91044.0
FR82,2011,81738.0
FR82,2012,80179.0
FR83,2008,720.0
FR83,2009,4545.0
FR83,2010,4733.0
FR83,2011,3754.0
FR83,2012,6913.0
FRB0,2013,59788.0
FRB0,2014,59594.0
FRB0,2015,56293.0
FRB0,2016,53315.0
FRB0,2017,55500.0
FRB0,2018,47209.0
FRB0,2019,45174.0
FRB0,2020,31280.0
FRB0,2021,40639.0
FRB0,2022,26094.0
FRB0,2023,23767.0
FRC1,2013,26565.0
FRC1,2014,43696.0
FRC1,2015,43634.0
FRC1,2016,53534.0
FRC1,2017,35842.0
FRC1,2018,31374.0
FRC1,2019,27881.0
FRC1,2020,27020.0
FRC1,2021,24404.0
FRC1,2022,17071.0
FRC1,2023,27611.0
FRC2,2013,24715.0
FRC2,2014,22944.0
FRC2,2015,28154.0
FRC2,2016,18798.0
FRC2,2017,23198.0
FRC2,2018,16543.0
FRC2,2019,26017.0
FRC2,2020,18675.0
FRC2,2021,14515.0
FRC2,2022,14177.0
FRC2,2023,13639.0
FRD1,2013,28569.0
FRD1,2014,40851.0
FRD1,2015,47120.0
FRD1,2016,35806.0
FRD1,2017,34740.0
FRD1,2018,33919.0
FRD1,2019,30892.0
FRD1,2020,27715.0
FRD1,2021,24250.0
FRD1,2022,25589.0
FRD1,2023,23948.0
FRD2,2013,41224.0
FRD2,2014,50187.0
FRD2,2015,24452.0
FRD2,2016,45668.0
FRD2,2017,51442.0
FRD2,2018,48130.0
FRD2,2019,41299.0
FRD2,2020,31718.0
FRD2,2021,35097.0
FRD2,2022,30301.0
FRD2,2023,21439.0
FRE1,2013,79708.0
FRE1,2014,91076.0
FRE1,2015,95112.0
FRE1,2016,88451.0
FRE1,2017,110335.0
FRE1,2018,88966.0
FRE1,2019,87075.0
FRE1,2020,83179.0
FRE1,2021,60175.0
FRE1,2022,98013.0
FRE1,2023,70924.0
FRE2,2013,45085.0
FRE2,2014,44571.0
FRE2,2015,31231.0
FRE2,2016,45465.0
FRE2,2017,51961.0
FRE2,2018,33266.0
FRE2,2019,36287.0
FRE2,2020,38400.0
FRE2,2021,35739.0
FRE2,2022,25587.0
FRE2,2023,20749.0
FRF1,2013,29671.0
FRF1,2014,38785.0
FRF1,2015,36531.0
FRF1,2016,32862.0
FRF1,2017,50286.0
FRF1,2018,35217.0
FRF1,2019,33006.0
FRF1,2020,21827.0
FRF1,2021,30674.0
FRF1,2022,18635.0
FRF1,2023,24743.0
FRF2,2013,24783.0
FRF2,2014,41187.0
FRF2,2015,39026.0
FRF2,2016,32198.0
FRF2,2017,36085.0
FRF2,2018,32764.0
FRF2,2019,32283.0
FRF2,2020,35395.0
FRF2,2021,19161.0
FRF2,2022,16282.0
FRF2,2023,20749.0
FRF3,2013,57496.0
FRF3,2014,49940.0
FRF3,2015,47292.0
FRF3,2016,56238.0
FRF3,2017,52135.0
FRF3,2018,58510.0
FRF3,2019,55551.0
FRF3,2020,42423.0
FRF3,2021,51999.0
FRF3,2022,45053.0
FRF3,2023,28557.0
FRG0,2013,83613.0
FRG0,2014,93741.0
FRG0,2015,91172.0
FRG0,2016,121107.0
FRG0,2017,122754.0
FRG0,2018,80325.0
FRG0,2019,71933.0
FRG0,2020,93500.0
FRG0,2021,66093.0
FRG0,2022,45906.0
FRG0,2023,36742.0
FRH0,2013,58933.0
FRH0,2014,68821.0
FRH0,2015,75018.0
FRH0,2016,72443.0
FRH0,2017,86812.0
FRH0,2018,67894.0
FRH0,2019,72974.0
FRH0,2020,71419.0
FRH0,2021,34120.0
FRH0,2022,48673.0
FRH0,2023,36220.0
FRI1,2013,91960.0
FRI1,2014,65223.0
FRI1,2015,87200.0
FRI1,2016,89506.0
FRI1,2017,90554.0
FRI1,2018,84786.0
FRI1,2019,94255.0
FRI1,2020,83393.0
FRI1,2021,38748.0
FRI1,2022,49109.0
FRI1,2023,59951.0
FRI2,2013,19358.0
FRI2,2014,14904.0
FRI2,2015,13503.0
FRI2,2016,21360.0
FRI2,2017,19137.0
FRI2,2018,12843.0
FRI2,2019,12496.0
FRI2,2020,12748.0
FRI2,2021,7945.0
FRI2,2022,4365.0
FRI2,2023,5318.0
FRI3,2013,38974.0
FRI3,2014,45808.0
FRI3,2015,46363.0
FRI3,2016,50139.0
FRI3,2017,54489.0
FRI3,2018,47882.0
FRI3,2019,33270.0
FRI3,2020,34317.0
FRI3,2021,41065.0
FRI3,2022,30825.0
FRI3,2023,25196.0
FRJ1,2013,79179.0
FRJ1,2014,61949.0
FRJ1,2015,81401.0
FRJ1,2016,87522.0
FRJ1,2017,82331.0
FRJ1,2018,78177.0
FRJ1,2019,63654.0
FRJ1,2020,51822.0
FRJ1,2021,48652.0
FRJ1,2022,51751.0
FRJ1,2023,46464.0
FRJ2,2013,70425.0
FRJ2,2014,79646.0
FRJ2,2015,72955.0
FRJ2,2016,98141.0
FRJ2,2017,64190.0
FRJ2,2018,58590.0
FRJ2,2019,72610.0
FRJ2,2020,81707.0
FRJ2,2021,43702.0
FRJ2,2022,53276.0
FRJ2,2023,56805.0
FRK1,2013,36943.0
FRK1,2014,28444.0
