geo,year,greek_tourism_Stays__Hotel_Stays_Natives,greek_tourism_Stays__Hotel_Stays_Foreign,greek_tourism_Stays__Hotel_Stays_Total,greek_tourism_Stays__Hotel_Beds,greek_tourism_Stays__Hotel_Occupancy,greek_tourism_Stays__Hotel_Stays_Natives_pct_diff,greek_tourism_Stays__Hotel_Stays_Foreign_pct_diff,greek_tourism_Stays__Hotel_Stays_Total_pct_diff,greek_tourism_Stays__Hotel_Occupancy_pct_diff,_row_order_,__conflict_file
EL623,2017,101471,759709,861180,10580,51.1,27.228386934988404,10.064789246607692,11.842575192242007,0.7889546351084784,504,greek_tourism_Stays
EL623,2018,10240,12508,22748,267,33.1,19.05592372979886,5.401533664784697,11.139339456712918,-14.4702842377261,406,greek_tourism_Stays
EL623,2018,95361,1024884,1120245,11064,49.1,-6.021424840594849,34.90481223731719,30.08256113704452,-3.9138943248532287,505,greek_tourism_Stays
EL623,2019,9916,10716,20632,266,28.1,-3.1640625,-14.326830828269909,-9.301916652013364,-15.105740181268882,407,greek_tourism_Stays
EL623,2019,126816,1070186,1197002,12106,48.6,32.98518262182653,4.42020755519649,6.851804739141884,-1.0183299389002036,506,greek_tourism_Stays
EL623,2020,7527,3301,10828,274,21.8,-24.0923759580476,-69.19559537140724,-47.51841799146956,-22.41992882562278,408,greek_tourism_Stays
EL623,2020,50321,166151,216472,6418,27.4,-60.319675750693925,-84.4745679722964,-81.91548552132744,-43.62139917695474,507,greek_tourism_Stays
EL623,2021,8127,7550,15677,228,32.0,7.971303308090873,128.71857013026354,44.78204654599188,46.78899082568807,409,greek_tourism_Stays
EL623,2021,93686,369667,463353,9483,34.2,86.17674529520478,122.488579665485,114.04754425514616,24.8175182481752,508,greek_tourism_Stays
EL623,2022,7494,14167,21661,265,33.3,-7.788851974898487,87.64238410596028,38.17056834853607,4.062499999999991,410,greek_tourism_Stays
EL623,2022,101770,1027364,1129134,11604,54.4,8.628823943812309,177.91607040931433,143.68764203533806,59.0643274853801,509,greek_tourism_Stays
EL623,2023,8255,17220,25475,283,35.6,10.15479049906592,21.5500811745606,17.607682009140852,6.90690690690692,411,greek_tourism_Stays
EL623,2023,108749,1130950,1239699,11910,61.5,6.857620123808587,10.082697077180043,9.792017599328334,13.051470588235295,510,greek_tourism_Stays
EL412,2015,28217,17198,45415,1049,23.4,,,,,412,greek_tourism_Stays
EL412,2015,88238,709162,797400,9751,44.3,,,,,745,greek_tourism_Stays
EL412,2016,29275,9835,39110,1037,20.1,3.749512705106851,-42.81311780439586,-13.883078278101948,-14.102564102564092,413,greek_tourism_Stays
